Sample,CqH1,CqH2,CqH3,CqH4,CqH_CV,CqD1,CqD2,CqD3,CqD4,CqD_CV,CqC1,CqC2,CqC3,CqC4,CqC_CV,CqA1,CqA2,CqA3,CqA4,CqA_CV,CqH_avg,CqD_avg,CqC_avg,CqA_avg,CqH_scaled,CqD_scaled,CqC_scaled,CqA_scaled,SH_D,SH_C,SH_A,SH_T,%D,%C,%A
10.3,18.35,17.49,,,3.393481204,40,40,,,0,40,40,,,0,24.5,24.46,,,0.1155403237,17.92,40,40,24.48,17.92,40,38.77,24.48,0.000007154760109,0.000002189048533,0.2241245087,0.2241338525,0.00003192181827,0.000009766701943,0.9999583115
10.4,19,18.79,,,0.7858821066,40,35.75,,,7.934531538,40,40,,,0,27.34,27.44,,,0.2581623882,18.895,37.875,40,27.39,18.895,37.875,38.77,27.39,0.00006134625612,0.000004302883978,0.0586133183,0.05867896744,0.001045455617,0.00007332923816,0.9988812151
10.6,19.62,21.37,,,6.037750022,40,40,,,0,40,40,,,0,25.19,24.31,,,2.514157444,20.495,40,40,24.75,20.495,40,38.77,24.75,0.00004263313955,0.00001304390506,1.10755038,1.107606057,0.0000384912481,0.00001177666461,0.9999497321
11.1,18.04,16.58,,,5.964043331,26.84,26.35,,,1.302810012,40,37.78,,,4.036454241,35.81,38.83,,,5.722032367,17.31,26.595,38.89,37.32,17.31,26.595,37.66,37.32,0.05084799952,0.000003095782124,0.00002002792281,0.05087112323,0.9995454454,0.00006085539157,0.0003936992451
11.2,21.18,20.99,,,0.6371841993,28.37,27.5,,,2.202194021,40,40,,,0,34.22,34.34,,,0.2475286282,21.085,27.935,40,34.28,21.085,27.935,38.77,34.28,0.2749678456,0.00001963429566,0.002255045605,0.2772425255,0.9917953427,0.0000708199279,0.008133837338
11.3,20.33,17.33,,,11.26564176,26.05,25.97,,,0.2174876682,38.31,39.37,,,1.929797086,33.4,33.54,,,0.2957721822,18.83,26.01,38.84,33.47,18.83,26.01,37.61,33.47,0.218746953,0.000009191523064,0.0008282605675,0.2195844051,0.9961861951,0.00004185872426,0.003771946223
11.4,23.16,23.6,,,1.330739879,26.9,26.83,,,0.1842452063,40,35.03,,,9.367774763,35.84,35.1,,,1.475215726,23.38,26.865,37.515,35.47,23.38,26.865,36.285,35.47,2.833008296,0.000539434484,0.004850577798,2.838398308,0.9981010374,0.0001900489027,0.001708913715
11.5,20.83,19.81,,,3.549453331,25.26,25.86,,,1.659875073,40,40,,,0,34.26,33.68,,,1.20730625,20.32,25.56,40,33.97,20.32,25.56,38.77,33.97,0.8393444129,0.00001155386742,0.001645078708,0.8410010455,0.9980301659,0.00001373823194,0.001956095913
11.6,18.87,18.8,,,0.2627951934,25.77,26.77,,,2.691689308,38.22,40,,,3.218230812,34.27,34.38,,,0.2266037755,18.835,26.27,39.11,34.325,18.835,26.27,37.88,34.325,0.1833071324,0.000007649173864,0.0004595063203,0.1837742879,0.9974579932,0.00004162265545,0.00250038417
12.1,19.45,19.39,,,0.2184675946,26.61,26.22,,,1.043996383,40,40,,,0,40,36.49,,,6.489592893,19.42,26.415,40,38.245,19.42,26.415,38.77,38.245,0.248675249,0.000006191564247,0.00004553616518,0.2487269767,0.9997920301,0.00002489301453,0.0001830769053
12.2,20.11,19.9,,,0.7422765511,40,33.46,,,12.59046651,38.39,40,,,2.904559045,24.41,24.53,,,0.3467626226,20.005,36.73,39.195,24.47,20.005,36.73,37.965,24.47,0.0002928267205,0.0000162267699,0.9575185394,0.9578275929,0.0003057196543,0.00001694122201,0.9996773391
12.2,20,19.52,,,1.717668294,28.03,28.39,,,0.9023695187,40,40,,,0,40,40,,,0,19.76,28.21,40,40,19.76,28.21,38.77,40,0.09070556186,0.000007837013273,0.0000170765058,0.09073047538,0.9997254118,0.00008637685674,0.000188211356
12.3,19.57,19.41,,,0.5804878655,25.41,26.55,,,3.102778024,40,40,,,0,35.8,37.71,,,3.674531226,19.49,25.98,40,36.755,19.49,25.98,38.77,36.755,0.352900854,0.000006499388288,0.0001342651332,0.3530416185,0.9996012807,0.00001840969435,0.0003803096466
12.4,20.57,21.08,,,1.731690076,26.84,26.24,,,1.598583529,40,40,,,0,36.89,40,,,5.720125086,20.825,26.54,40,38.445,20.825,26.54,38.77,38.445,0.6038804305,0.00001639636312,0.0001049778318,0.6040018047,0.9997990499,0.00002714621544,0.0001738038379
